,date,latitude,longitude,coordinates,block,address_accuracy,num_mosquitos,wnv_present,year,month,day,week,day_of_week,station,tmax,tmin,tavg,depart,dew_point,wet_bulb,sunrise,sunset,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed,heat_cool,normal,BR,DZ,FG,HZ,MD,RA,TS,TSRA,VCTS,nearby_spray_locs
12,2013-07-08,41.732984,-87.649642,"(41.732984, -87.649642)",89,8,18,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,6
13,2013-07-08,41.733643,-87.55551,"(41.733643, -87.55551)",178,16,4,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
14,2013-07-08,41.740641,-87.546587,"(41.740641, -87.546587)",26,10,5,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
15,2013-07-08,41.743402,-87.731435,"(41.743402, -87.731435)",82,8,13,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
16,2013-07-08,41.750498,-87.605294,"(41.750498, -87.605294)",10,5,16,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
17,2013-07-08,41.754676,-87.612922,"(41.754676, -87.612922)",154,18,6,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
18,2013-07-08,41.763733,-87.742302,"(41.763733, -87.742302)",102,16,9,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
19,2013-07-08,41.766202,-87.562889,"(41.766202, -87.562889)",142,18,2,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
20,2013-07-08,41.768388,-87.678649,"(41.768388, -87.678649)",22,8,2,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
21,2013-07-08,41.77166,-87.703047,"(41.77166, -87.703047)",67,8,7,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
22,2013-07-08,41.773215,-87.60088,"(41.773215, -87.60088)",20,16,28,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
23,2013-07-08,41.776156,-87.778927,"(41.776156, -87.778927)",63,9,35,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
24,2013-07-08,41.776428,-87.627096,"(41.776428, -87.627096)",42,8,8,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
25,2013-07-08,41.778297,-87.752411,"(41.778297, -87.752411)",104,18,14,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
26,2013-07-08,41.793818,-87.654234,"(41.793818, -87.654234)",180,10,17,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
27,2013-07-08,41.798697,-87.736812,"(41.798697, -87.736812)",52,8,3,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
28,2013-07-08,41.800737,-87.71188000000002,"(41.800737, -87.71188)",35,8,16,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
29,2013-07-08,41.801179,-87.679447,"(41.801179, -87.679447)",22,8,12,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
30,2013-07-08,41.801498,-87.763416,"(41.801498, -87.763416)",50,9,11,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
31,2013-07-08,41.803423,-87.642984,"(41.803423, -87.642984)",100,16,3,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
32,2013-07-08,41.822536,-87.66634300000003,"(41.822536, -87.666343)",78,18,4,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
33,2013-07-08,41.82561,-87.726549,"(41.82561, -87.726549)",74,18,37,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
34,2013-07-08,41.846075,-87.716277,"(41.846075, -87.716277)",25,9,2,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
35,2013-07-08,41.867108,-87.654224,"(41.867108, -87.654224)",22,16,34,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
36,2013-07-08,41.868077,-87.666901,"(41.868077, -87.666901)",22,18,7,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
37,2013-07-08,41.868142,-87.696269,"(41.868142, -87.696269)",22,18,24,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
38,2013-07-08,41.878114,-87.629798,"(41.878114, -87.629798)",43,3,1,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
39,2013-07-08,41.891118,-87.65449100000002,"(41.891118, -87.654491)",25,8,1,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
40,2013-07-08,41.89923,-87.716788,"(41.89923, -87.716788)",40,36,120,0,8052,28,32,112,0,8,348,284,316,16,280,288,1696,8000,3.36,117.24,119.8,40.0,88,42.0,-56,300,4,0,0,0,0,4,0,0,0,0
41,2013-07-08,41.904194,-87.756155,"(41.904194, -87.756155)",13,9,20,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,3
42,2013-07-08,41.906638,-87.701431,"(41.906638, -87.701431)",14,9,3,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
43,2013-07-08,41.911824,-87.726737,"(41.911824, -87.726737)",17,9,2,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
44,2013-07-08,41.912563,-87.66805500000002,"(41.912563, -87.668055)",17,9,2,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
45,2013-07-08,41.916265,-87.800515,"(41.916265, -87.800515)",140,16,37,0,4026,14,16,56,0,2,172,140,156,10,142,148,848,4000,1.0,58.48,59.9,15.6,46,16.8,-26,146,2,0,0,0,0,2,0,2,0,2
46,2013-07-08,41.921965,-87.632085,"(41.921965, -87.632085)",22,8,4,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
47,2013-07-08,41.923738,-87.785288,"(41.923738, -87.785288)",61,9,7,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,0
48,2013-07-08,41.925198,-87.746381,"(41.925198, -87.746381)",48,8,6,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
49,2013-07-08,41.932094,-87.700117,"(41.932094, -87.700117)",56,16,6,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,1
50,2013-07-08,41.944869,-87.832763,"(41.944869, -87.832763)",72,16,2,0,4026,14,16,56,0,2,172,140,156,10,142,148,848,4000,1.0,58.48,59.9,15.6,46,16.8,-26,146,2,0,0,0,0,2,0,2,0,0
51,2013-07-08,41.94722700000001,-87.67145699999998,"(41.947227, -87.671457)",34,18,5,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
52,2013-07-08,41.951866,-87.72505699999998,"(41.951866, -87.725057)",39,8,8,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,12
53,2013-07-08,41.95469,-87.800991,"(41.95469, -87.800991)",246,54,246,0,12078,42,48,168,0,6,516,420,468,30,426,444,2544,12000,3.0,175.44,179.7,46.8,138,50.4,-78,438,6,0,0,0,0,6,0,6,0,0
54,2013-07-08,41.957799,-87.930995,"(41.957799, -87.930995)",10,5,27,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,0
55,2013-07-08,41.960616,-87.777189,"(41.960616, -87.777189)",60,9,2,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,0
56,2013-07-08,41.963976,-87.69181,"(41.963976, -87.69181)",45,9,2,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,0
57,2013-07-08,41.964242,-87.757639,"(41.964242, -87.757639)",92,16,16,0,4026,14,16,56,0,2,172,140,156,10,142,148,848,4000,1.0,58.48,59.9,15.6,46,16.8,-26,146,2,0,0,0,0,2,0,2,0,0
58,2013-07-08,41.973845,-87.805059,"(41.973845, -87.805059)",51,9,1,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,3
59,2013-07-08,41.974689,-87.890615,"(41.974689, -87.890615)",130,117,296,0,26169,91,104,364,0,13,1118,910,1014,65,923,962,5512,26000,6.5,380.12000000000006,389.3499999999999,101.39999999999998,299,109.20000000000003,-169,949,13,0,0,0,0,13,0,13,0,0
60,2013-07-08,41.98480900000001,-87.728492,"(41.984809, -87.728492)",58,8,6,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,0
61,2013-07-08,41.986921,-87.689778,"(41.986921, -87.689778)",58,9,36,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,1
62,2013-07-08,41.98728,-87.666066,"(41.98728, -87.666066)",58,8,1,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,0
63,2013-07-08,41.991429,-87.747113,"(41.991429, -87.747113)",122,16,47,0,4026,14,16,56,0,2,172,140,156,10,142,148,848,4000,1.0,58.48,59.9,15.6,46,16.8,-26,146,2,0,0,0,0,2,0,2,0,0
64,2013-07-08,41.99247800000001,-87.862995,"(41.992478, -87.862995)",273,24,136,0,6039,21,24,84,0,3,258,210,234,15,213,222,1272,6000,1.5,87.72,89.85,23.4,69,25.200000000000003,-39,219,3,0,0,0,0,3,0,3,0,0
65,2013-07-08,41.994679,-87.770899,"(41.994679, -87.770899)",62,8,9,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,0
66,2013-07-08,42.008314,-87.77792099999998,"(42.008314, -87.777921)",70,9,42,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,2
67,2013-07-08,42.009876,-87.807277,"(42.009876, -87.807277)",71,9,2,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,1
68,2013-07-08,42.010412,-87.66214000000002,"(42.010412, -87.66214)",12,8,2,0,2013,7,8,28,0,1,86,70,78,5,71,74,424,2000,0.5,29.24,29.95,7.8,23,8.4,-13,73,1,0,0,0,0,1,0,1,0,0
69,2013-07-12,41.659112,-87.53869300000002,"(41.659112, -87.538693)",80,16,27,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
70,2013-07-12,41.662014,-87.72460799999998,"(41.662014, -87.724608)",84,16,37,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
71,2013-07-12,41.673408,-87.599862,"(41.673408, -87.599862)",84,35,263,0,14091,49,84,196,28,14,574,420,497,-28,378,434,2989,14000,0.0,206.08,210.63,28.700000000000003,56,37.8,-42,525,0,0,0,0,7,0,0,0,0,0
72,2013-07-12,41.680946,-87.535198,"(41.680946, -87.535198)",222,48,260,0,12078,42,72,168,24,12,492,360,426,-24,324,372,2562,12000,0.0,176.64000000000001,180.54,24.6,48,32.4,-36,450,0,0,0,0,6,0,0,0,0,0
73,2013-07-12,41.682587,-87.707973,"(41.682587, -87.707973)",175,45,204,1,10065,35,60,140,20,10,410,300,355,-20,270,310,2135,10000,0.0,147.20000000000002,150.45,20.5,40,27.0,-30,375,0,0,0,0,5,0,0,0,0,0
74,2013-07-12,41.704336,-87.70373599999998,"(41.704336, -87.703736)",33,8,7,0,2013,7,12,28,4,2,82,60,71,-4,54,62,427,2000,0.0,29.44,30.09,4.1,8,5.4,-6,75,0,0,0,0,1,0,0,0,0,0
75,2013-07-12,41.704572,-87.56566600000002,"(41.704572, -87.565666)",48,16,28,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
76,2013-07-12,41.71914,-87.669539,"(41.71914, -87.669539)",96,9,20,0,2013,7,12,28,4,2,82,60,71,-4,54,62,427,2000,0.0,29.44,30.09,4.1,8,5.4,-6,75,0,0,0,0,1,0,0,0,0,0
77,2013-07-12,41.720848,-87.666014,"(41.720848, -87.666014)",34,18,14,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
78,2013-07-12,41.723195,-87.64997,"(41.723195, -87.64997)",20,10,11,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,1
79,2013-07-12,41.72646500000001,-87.585413,"(41.726465, -87.585413)",20,10,44,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
80,2013-07-12,41.728495,-87.60096300000002,"(41.728495, -87.600963)",390,30,251,0,12078,42,72,168,24,12,492,360,426,-24,324,372,2562,12000,0.0,176.64000000000001,180.54,24.6,48,32.4,-36,450,0,0,0,0,6,0,0,0,0,0
81,2013-07-12,41.732984,-87.649642,"(41.732984, -87.649642)",178,16,71,1,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,6
82,2013-07-12,41.733643,-87.55551,"(41.733643, -87.55551)",178,16,8,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
83,2013-07-12,41.740641,-87.546587,"(41.740641, -87.546587)",26,10,55,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
84,2013-07-12,41.743402,-87.731435,"(41.743402, -87.731435)",246,24,123,0,6039,21,36,84,12,6,246,180,213,-12,162,186,1281,6000,0.0,88.32000000000001,90.27,12.299999999999999,24,16.200000000000003,-18,225,0,0,0,0,3,0,0,0,0,0
85,2013-07-12,41.750498,-87.605294,"(41.750498, -87.605294)",30,15,133,0,6039,21,36,84,12,6,246,180,213,-12,162,186,1281,6000,0.0,88.32000000000001,90.27,12.299999999999999,24,16.200000000000003,-18,225,0,0,0,0,3,0,0,0,0,0
86,2013-07-12,41.754292,-87.590773,"(41.754292, -87.590773)",158,18,14,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
87,2013-07-12,41.754676,-87.612922,"(41.754676, -87.612922)",154,18,15,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
88,2013-07-12,41.763733,-87.742302,"(41.763733, -87.742302)",102,16,8,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
89,2013-07-12,41.766202,-87.562889,"(41.766202, -87.562889)",142,18,25,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
90,2013-07-12,41.768388,-87.678649,"(41.768388, -87.678649)",44,16,13,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
91,2013-07-12,41.77166,-87.703047,"(41.77166, -87.703047)",134,16,54,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
92,2013-07-12,41.773215,-87.60088,"(41.773215, -87.60088)",20,16,34,1,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
93,2013-07-12,41.776156,-87.778927,"(41.776156, -87.778927)",126,18,39,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
94,2013-07-12,41.776428,-87.627096,"(41.776428, -87.627096)",84,16,53,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
95,2013-07-12,41.778297,-87.752411,"(41.778297, -87.752411)",104,18,63,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
96,2013-07-12,41.778748,-87.586427,"(41.778748, -87.586427)",64,8,1,0,2013,7,12,28,4,2,82,60,71,-4,54,62,427,2000,0.0,29.44,30.09,4.1,8,5.4,-6,75,0,0,0,0,1,0,0,0,0,0
97,2013-07-12,41.793818,-87.654234,"(41.793818, -87.654234)",180,10,55,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
98,2013-07-12,41.798697,-87.736812,"(41.798697, -87.736812)",104,16,47,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
99,2013-07-12,41.800737,-87.71188000000002,"(41.800737, -87.71188)",105,24,106,0,6039,21,36,84,12,6,246,180,213,-12,162,186,1281,6000,0.0,88.32000000000001,90.27,12.299999999999999,24,16.200000000000003,-18,225,0,0,0,0,3,0,0,0,0,0
100,2013-07-12,41.801179,-87.679447,"(41.801179, -87.679447)",44,16,72,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
101,2013-07-12,41.801498,-87.763416,"(41.801498, -87.763416)",100,18,48,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
102,2013-07-12,41.803423,-87.642984,"(41.803423, -87.642984)",100,16,48,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
103,2013-07-12,41.822536,-87.66634300000003,"(41.822536, -87.666343)",117,27,122,0,6039,21,36,84,12,6,246,180,213,-12,162,186,1281,6000,0.0,88.32000000000001,90.27,12.299999999999999,24,16.200000000000003,-18,225,0,0,0,0,3,0,0,0,0,0
104,2013-07-12,41.82561,-87.726549,"(41.82561, -87.726549)",74,18,13,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
105,2013-07-12,41.846075,-87.716277,"(41.846075, -87.716277)",50,18,6,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
106,2013-07-12,41.857402,-87.694991,"(41.857402, -87.694991)",60,16,4,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
107,2013-07-12,41.867108,-87.654224,"(41.867108, -87.654224)",22,16,64,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
108,2013-07-12,41.868077,-87.666901,"(41.868077, -87.666901)",33,27,112,0,6039,21,36,84,12,6,246,180,213,-12,162,186,1281,6000,0.0,88.32000000000001,90.27,12.299999999999999,24,16.200000000000003,-18,225,0,0,0,0,3,0,0,0,0,0
109,2013-07-12,41.868142,-87.696269,"(41.868142, -87.696269)",33,27,112,0,6039,21,36,84,12,6,246,180,213,-12,162,186,1281,6000,0.0,88.32000000000001,90.27,12.299999999999999,24,16.200000000000003,-18,225,0,0,0,0,3,0,0,0,0,0
110,2013-07-12,41.891118,-87.65449100000002,"(41.891118, -87.654491)",50,16,18,0,4026,14,24,56,8,4,164,120,142,-8,108,124,854,4000,0.0,58.88,60.18,8.2,16,10.8,-12,150,0,0,0,0,2,0,0,0,0,0
111,2013-07-12,41.896282,-87.655232,"(41.896282, -87.655232)",11,8,2,0,2013,7,12,28,4,2,82,60,71,-4,54,62,427,2000,0.0,29.44,30.09,4.1,8,5.4,-6,75,0,0,0,0,1,0,0,0,0,0
