station,date,tmax,tmin,tavg,depart,dew_point,wet_bulb,sunrise,sunset,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed,heat_cool,normal,year,month,day,week,day_of_week
2,2007-05-12,65,47,56,-3,37,46,435,2000,0.0,29.54,30.19,12.7,1,13.0,9,59,2007,5,12,19,5
1,2007-05-13,69,43,56,-2,33,46,434,2000,0.0,29.49,30.24,6.6,14,8.1,9,58,2007,5,13,19,6
2,2007-05-13,69,44,57,-3,32,46,434,2000,0.0,29.55,30.24,6.4,11,7.6,8,60,2007,5,13,19,6
1,2007-05-14,90,56,73,15,47,59,433,2000,0.0,29.23,29.97,16.9,21,17.3,-8,58,2007,5,14,20,0
2,2007-05-14,90,54,72,12,45,58,433,2000,0.0,29.31,29.98,14.1,21,14.6,-7,60,2007,5,14,20,0
1,2007-05-15,80,57,69,11,56,61,432,2000,0.38,29.13,29.84,8.1,27,12.3,-4,58,2007,5,15,20,1
2,2007-05-15,82,56,69,9,56,61,432,2000,0.6,29.19,29.83,8.1,25,10.8,-4,60,2007,5,15,20,1
1,2007-05-16,66,44,55,-4,43,48,431,2000,0.14,29.33,30.03,7.8,36,12.2,10,59,2007,5,16,20,2
2,2007-05-16,64,45,55,-6,42,47,431,2000,0.07,29.39,30.03,8.0,36,11.8,10,61,2007,5,16,20,2
1,2007-05-17,62,43,53,-6,32,43,430,2000,0.0,29.55,30.27,10.5,3,11.3,12,59,2007,5,17,20,3
2,2007-05-17,61,44,53,-8,32,43,430,2000,0.0,29.62,30.27,11.7,1,12.2,12,61,2007,5,17,20,3
1,2007-05-18,71,42,57,-3,30,46,429,2000,0.0,29.53,30.25,5.4,25,7.5,8,60,2007,5,18,20,4
2,2007-05-18,70,43,57,-5,31,47,429,2000,0.0,29.6,30.26,3.4,22,5.5,8,62,2007,5,18,20,4
1,2007-05-19,80,56,68,8,39,53,428,2000,0.0,29.34,30.08,11.1,24,11.4,-3,60,2007,5,19,20,5
2,2007-05-19,80,56,68,6,37,53,428,2000,0.0,29.41,30.08,11.1,23,11.4,-3,62,2007,5,19,20,5
1,2007-05-20,69,43,56,-5,40,44,427,2000,0.07,29.38,30.11,10.4,4,10.7,9,61,2007,5,20,20,6
2,2007-05-20,69,44,57,-6,41,45,427,2000,0.11,29.44,30.11,8.6,3,9.7,8,63,2007,5,20,20,6
1,2007-05-21,80,44,62,1,50,56,426,2000,0.0,29.33,30.06,6.3,11,8.2,3,61,2007,5,21,21,0
2,2007-05-21,79,46,63,0,50,57,426,2000,0.0,29.39,30.05,6.3,10,7.8,2,63,2007,5,21,21,0
1,2007-05-22,87,55,71,10,46,58,425,2000,0.0,29.34,30.06,10.0,18,10.2,-6,61,2007,5,22,21,1
2,2007-05-22,87,60,74,11,44,58,425,2000,0.0,29.41,30.05,10.1,16,10.6,-9,63,2007,5,22,21,1
1,2007-05-23,89,60,75,14,49,61,425,2000,0.0,29.39,30.1,11.4,19,11.8,-10,61,2007,5,23,21,2
2,2007-05-23,89,66,78,15,48,61,425,2000,0.0,29.47,30.1,10.9,18,11.2,-13,63,2007,5,23,21,2
1,2007-05-24,88,63,76,14,54,63,424,2000,0.02,29.41,30.11,14.9,21,17.3,-11,62,2007,5,24,21,3
2,2007-05-24,88,66,77,13,53,63,424,2000,0.0,29.47,30.1,13.8,20,15.2,-12,64,2007,5,24,21,3
1,2007-05-25,70,56,63,1,44,53,423,2000,0.0,29.51,30.24,4.9,5,8.8,2,62,2007,5,25,21,4
2,2007-05-25,66,57,62,-2,46,53,423,2000,0.09,29.57,30.23,4.5,5,8.2,3,64,2007,5,25,21,4
1,2007-05-26,65,49,57,-5,55,56,422,2000,1.01,29.36,30.11,2.8,17,7.2,8,62,2007,5,26,21,5
2,2007-05-26,70,50,60,-4,55,57,422,2000,0.28,29.42,30.1,2.5,15,7.8,5,64,2007,5,26,21,5
1,2007-05-27,75,57,66,4,47,56,422,2000,0.04,29.34,30.06,8.9,26,9.5,-1,62,2007,5,27,21,6
2,2007-05-27,75,59,67,3,49,57,422,2000,0.08,29.41,30.05,8.2,24,9.2,-2,64,2007,5,27,21,6
1,2007-05-28,79,50,65,2,47,56,421,2000,0.0,29.43,30.15,4.8,10,5.3,0,63,2007,5,28,22,0
2,2007-05-28,76,54,65,0,49,57,421,2000,0.0,29.49,30.14,4.7,8,5.2,0,65,2007,5,28,22,0
1,2007-05-29,88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,2007,5,29,22,1
2,2007-05-29,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,2007,5,29,22,1
1,2007-05-30,87,66,77,13,58,65,420,2000,0.0,29.31,30.04,10.3,19,10.6,-12,64,2007,5,30,22,2
2,2007-05-30,89,70,80,14,57,66,420,2000,0.0,29.38,30.03,9.7,17,10.1,-15,66,2007,5,30,22,2
1,2007-05-31,78,65,72,8,61,65,420,2000,0.01,29.28,30.0,9.3,19,9.9,-7,64,2007,5,31,22,3
2,2007-05-31,80,68,74,8,61,66,420,2000,0.53,29.34,29.99,8.9,18,9.2,-9,66,2007,5,31,22,3
1,2007-06-01,85,62,74,10,63,66,419,2000,0.19,29.19,29.91,4.2,17,6.4,-9,64,2007,6,1,22,4
2,2007-06-01,86,67,77,11,63,67,419,2000,0.21,29.25,29.9,4.7,16,5.8,-12,66,2007,6,1,22,4
1,2007-06-02,81,65,73,9,63,67,419,2000,0.04,29.03,29.77,6.5,22,7.4,-8,64,2007,6,2,22,5
2,2007-06-02,81,68,75,9,62,67,419,2000,0.0,29.1,29.76,7.5,21,8.2,-10,66,2007,6,2,22,5
1,2007-06-03,78,62,70,6,60,63,418,2000,0.01,28.82,29.56,5.2,25,6.7,-5,64,2007,6,3,22,6
2,2007-06-03,77,64,71,5,60,64,418,2000,0.32,28.87,29.54,4.9,24,7.2,-6,66,2007,6,3,22,6
1,2007-06-04,71,58,65,1,58,60,418,2000,0.39,28.82,29.52,7.8,31,9.7,0,64,2007,6,4,23,0
2,2007-06-04,72,56,64,-2,57,60,418,2000,0.31,28.88,29.51,7.9,30,10.1,1,66,2007,6,4,23,0
1,2007-06-05,64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,2007,6,5,23,1
2,2007-06-05,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,2007,6,5,23,1
1,2007-06-06,71,44,58,-8,48,55,417,2000,0.01,29.07,29.81,10.8,17,11.4,7,66,2007,6,6,23,2
2,2007-06-06,73,48,61,-7,47,55,417,2000,0.0,29.13,29.82,9.6,15,10.6,4,68,2007,6,6,23,2
1,2007-06-07,91,71,81,15,62,69,417,2000,0.0,28.84,29.55,22.7,20,23.1,-16,66,2007,6,7,23,3
2,2007-06-07,92,71,82,14,61,68,417,2000,0.0,28.91,29.55,20.3,19,20.7,-17,68,2007,6,7,23,3
1,2007-06-08,81,57,69,3,53,61,417,2000,0.0,29.18,29.85,10.9,28,13.8,-4,66,2007,6,8,23,4
2,2007-06-08,81,63,72,4,54,62,417,2000,0.0,29.24,29.83,9.3,26,12.4,-7,68,2007,6,8,23,4
1,2007-06-09,79,52,66,0,47,57,416,2000,0.0,29.36,30.07,0.3,33,5.0,-1,66,2007,6,9,23,5
2,2007-06-09,79,57,68,0,49,58,416,2000,0.0,29.42,30.05,2.4,19,4.7,-3,68,2007,6,9,23,5
1,2007-06-10,81,55,68,1,51,59,416,2000,0.0,29.34,30.05,4.8,17,5.6,-3,67,2007,6,10,23,6
2,2007-06-10,81,61,71,2,50,60,416,2000,0.0,29.39,30.04,4.6,16,5.8,-6,69,2007,6,10,23,6
1,2007-06-11,86,58,72,5,52,61,416,2000,0.0,29.41,30.11,4.9,11,6.9,-7,67,2007,6,11,24,0
2,2007-06-11,85,65,75,6,51,61,416,2000,0.0,29.47,30.09,6.6,9,8.4,-10,69,2007,6,11,24,0
1,2007-06-12,83,62,73,5,50,60,416,2000,0.0,29.44,30.16,8.3,5,8.8,-8,68,2007,6,12,24,1
2,2007-06-12,82,66,74,4,51,61,416,2000,0.0,29.49,30.14,9.4,5,10.0,-9,70,2007,6,12,24,1
1,2007-06-13,87,60,74,6,53,62,416,2000,0.0,29.36,30.09,7.2,5,8.6,-9,68,2007,6,13,24,2
2,2007-06-13,86,68,77,7,53,62,416,2000,0.0,29.41,30.09,7.0,5,8.6,-12,70,2007,6,13,24,2
1,2007-06-14,89,64,77,9,55,64,416,2000,0.0,29.3,30.02,5.6,5,6.8,-12,68,2007,6,14,24,3
2,2007-06-14,89,68,79,9,54,63,416,2000,0.0,29.36,30.0,5.9,7,6.4,-14,70,2007,6,14,24,3
1,2007-06-15,91,63,77,9,56,64,416,2000,0.0,29.28,29.99,4.1,6,4.9,-12,68,2007,6,15,24,4
2,2007-06-15,89,67,78,8,56,65,416,2000,0.0,29.34,29.97,3.8,9,4.1,-13,70,2007,6,15,24,4
1,2007-06-16,93,66,80,11,60,67,416,2000,0.0,29.26,29.97,4.8,28,5.8,-15,69,2007,6,16,24,5
2,2007-06-16,92,68,80,9,61,68,416,2000,0.0,29.33,29.96,2.1,22,6.1,-15,71,2007,6,16,24,5
1,2007-06-17,91,70,81,12,64,70,416,2000,0.0,29.23,29.95,2.8,11,6.3,-16,69,2007,6,17,24,6
2,2007-06-17,91,71,81,10,65,70,416,2000,0.16,29.28,29.93,4.0,11,6.1,-16,71,2007,6,17,24,6
1,2007-06-18,89,69,79,9,65,70,416,2000,0.28,29.12,29.84,14.0,20,15.1,-14,70,2007,6,18,25,0
2,2007-06-18,89,73,81,9,65,70,416,2000,0.02,29.19,29.83,12.2,20,12.6,-16,72,2007,6,18,25,0
1,2007-06-19,80,65,73,3,55,63,416,2000,0.58,29.26,29.95,10.7,28,11.4,-8,70,2007,6,19,25,1
2,2007-06-19,81,65,73,1,55,63,416,2000,0.93,29.31,29.93,10.1,29,11.3,-8,72,2007,6,19,25,1
1,2007-06-20,84,61,73,3,52,61,416,2000,0.0,29.39,30.1,7.8,27,8.8,-8,70,2007,6,20,25,2
2,2007-06-20,85,62,74,2,50,61,416,2000,0.0,29.46,30.09,5.9,28,7.7,-9,72,2007,6,20,25,2
1,2007-06-21,77,61,69,-1,51,60,416,2000,0.01,29.36,30.08,3.5,3,10.7,-4,70,2007,6,21,25,3
2,2007-06-21,80,66,73,1,51,61,416,2000,0.0,29.41,30.06,3.7,2,9.6,-8,72,2007,6,21,25,3
1,2007-06-22,76,61,69,-1,50,58,417,2000,0.0,29.33,30.06,7.8,6,8.7,-4,70,2007,6,22,25,4
2,2007-06-22,75,62,69,-3,49,58,417,2000,0.0,29.39,30.05,6.5,7,8.1,-4,72,2007,6,22,25,4
1,2007-06-23,67,62,65,-5,58,61,417,2000,0.05,29.23,29.96,7.6,12,9.0,0,70,2007,6,23,25,5
2,2007-06-23,68,61,65,-7,60,62,417,2000,0.34,29.28,29.95,7.3,11,8.1,0,72,2007,6,23,25,5
1,2007-06-24,77,63,70,-1,62,65,417,2000,0.0,29.26,29.97,7.0,9,8.0,-5,71,2007,6,24,25,6
2,2007-06-24,75,65,70,-3,62,65,417,2000,0.0,29.33,29.96,5.6,10,6.0,-5,73,2007,6,24,25,6
1,2007-06-25,89,65,77,6,66,70,417,2000,0.0,29.38,30.07,3.9,14,6.8,-12,71,2007,6,25,26,0
2,2007-06-25,86,67,77,4,67,70,417,2000,0.0,29.44,30.06,4.0,12,5.9,-12,73,2007,6,25,26,0
1,2007-06-26,92,70,81,10,69,72,418,2000,0.16,29.39,30.11,6.1,22,7.1,-16,71,2007,6,26,26,1
2,2007-06-26,91,73,82,9,69,72,418,2000,0.0,29.45,30.09,7.3,21,8.1,-17,73,2007,6,26,26,1
1,2007-06-27,91,71,81,10,70,72,418,2000,0.15,29.29,30.02,7.5,24,8.8,-16,71,2007,6,27,26,2
2,2007-06-27,89,71,80,7,69,72,418,2000,0.35,29.36,30.0,7.9,24,8.5,-15,73,2007,6,27,26,2
1,2007-06-28,74,58,66,-5,55,60,419,2000,0.0,29.41,30.09,11.9,3,12.5,-1,71,2007,6,28,26,3
2,2007-06-28,73,61,67,-6,56,61,419,2000,0.0,29.43,30.07,12.2,2,13.3,-2,73,2007,6,28,26,3
1,2007-06-29,70,56,63,-8,55,59,419,2000,0.0,29.41,30.13,7.6,2,8.3,2,71,2007,6,29,26,4
2,2007-06-29,71,56,64,-9,56,60,419,2000,0.0,29.47,30.11,7.4,2,8.2,1,73,2007,6,29,26,4
1,2007-06-30,79,54,67,-5,46,56,419,2000,0.0,29.41,30.13,4.9,3,5.8,-2,72,2007,6,30,26,5
2,2007-06-30,77,58,68,-6,49,58,419,2000,0.0,29.46,30.11,5.1,4,6.2,-3,74,2007,6,30,26,5
1,2007-07-01,75,54,65,-7,52,58,420,2000,0.0,29.51,30.23,8.6,4,8.6,0,72,2007,7,1,26,6
2,2007-07-01,76,61,69,-5,51,59,420,2000,0.0,29.56,30.21,9.5,4,9.7,-4,74,2007,7,1,26,6
1,2007-07-02,79,53,66,-6,50,58,420,2000,0.0,29.49,30.22,5.9,14,8.1,-1,72,2007,7,2,27,0
2,2007-07-02,77,58,68,-6,50,59,420,2000,0.0,29.55,30.21,7.4,12,8.5,-3,74,2007,7,2,27,0
1,2007-07-03,83,60,72,0,57,63,421,2000,0.4,29.31,30.06,6.7,21,7.3,-7,72,2007,7,3,27,1
2,2007-07-03,83,63,73,-1,56,63,421,2000,0.09,29.38,30.05,6.4,21,7.4,-8,74,2007,7,3,27,1
1,2007-07-04,86,67,77,5,65,69,422,2000,0.16,29.18,29.9,4.6,27,8.2,-12,72,2007,7,4,27,2
2,2007-07-04,84,67,76,2,65,69,422,2000,0.66,29.23,29.88,3.1,25,8.8,-11,74,2007,7,4,27,2
1,2007-07-05,89,71,80,8,60,67,422,2000,0.0,29.24,29.94,6.4,31,8.1,-15,72,2007,7,5,27,3
2,2007-07-05,88,70,79,5,60,67,422,2000,0.0,29.29,29.92,4.3,33,6.9,-14,74,2007,7,5,27,3
1,2007-07-06,86,66,76,4,57,64,423,2000,0.0,29.32,30.03,3.2,5,5.5,-11,72,2007,7,6,27,4
2,2007-07-06,84,68,76,2,57,65,423,2000,0.0,29.38,30.01,3.3,7,5.5,-11,74,2007,7,6,27,4
1,2007-07-07,90,64,77,5,63,69,423,2000,0.0,29.18,29.91,8.4,22,8.6,-12,72,2007,7,7,27,5
2,2007-07-07,88,68,78,4,62,68,423,2000,0.0,29.24,29.9,7.4,23,8.1,-13,74,2007,7,7,27,5
1,2007-07-08,94,75,85,12,67,72,424,2000,0.0,29.05,29.77,12.9,24,13.1,-20,73,2007,7,8,27,6
2,2007-07-08,93,75,84,9,67,72,424,2000,0.0,29.12,29.76,12.6,23,12.7,-19,75,2007,7,8,27,6
1,2007-07-09,94,70,82,9,66,70,425,2000,0.3,29.11,29.8,4.9,24,8.8,-17,73,2007,7,9,28,0
2,2007-07-09,93,72,83,8,67,71,425,2000,0.24,29.16,29.79,4.8,23,8.8,-18,75,2007,7,9,28,0
1,2007-07-10,89,69,79,6,67,70,425,2000,0.43,29.06,29.77,8.6,23,10.5,-14,73,2007,7,10,28,1
2,2007-07-10,89,70,80,5,67,71,425,2000,0.08,29.13,29.76,8.2,23,10.2,-15,75,2007,7,10,28,1
1,2007-07-11,77,62,70,-3,51,59,426,2000,0.0,29.23,29.93,8.8,30,10.9,-5,73,2007,7,11,28,2
2,2007-07-11,77,63,70,-5,51,59,426,2000,0.0,29.28,29.92,9.1,30,11.2,-5,75,2007,7,11,28,2
1,2007-07-12,80,61,71,-2,51,59,427,2000,0.0,29.22,29.93,9.4,29,11.1,-6,73,2007,7,12,28,3
2,2007-07-12,80,60,70,-5,51,60,427,2000,0.0,29.28,29.92,10.0,28,11.4,-5,75,2007,7,12,28,3
1,2007-07-13,78,58,68,-5,52,58,428,2000,0.0,29.26,29.98,1.4,1,5.3,-3,73,2007,7,13,28,4
2,2007-07-13,74,59,67,-8,53,59,428,2000,0.0,29.33,29.98,2.0,7,5.8,-2,75,2007,7,13,28,4
1,2007-07-14,84,61,73,0,55,62,428,2000,0.0,29.08,29.79,8.3,26,13.2,-8,73,2007,7,14,28,5
2,2007-07-14,85,62,74,-1,55,62,428,2000,0.0,29.14,29.79,8.4,25,13.9,-9,75,2007,7,14,28,5
1,2007-07-15,82,60,71,-3,53,61,429,2000,0.0,29.19,29.89,2.1,29,4.9,-6,74,2007,7,15,28,6
2,2007-07-15,80,64,72,-4,52,61,429,2000,0.0,29.25,29.88,1.2,9,6.5,-7,76,2007,7,15,28,6
1,2007-07-16,82,65,74,0,60,65,430,2000,0.39,29.25,29.96,4.4,24,5.2,-9,74,2007,7,16,29,0
2,2007-07-16,82,66,74,-2,60,65,430,2000,0.07,29.31,29.94,5.6,23,6.6,-9,76,2007,7,16,29,0
1,2007-07-17,83,68,76,2,66,69,431,2000,0.11,29.18,29.9,5.2,23,6.5,-11,74,2007,7,17,29,1
2,2007-07-17,83,69,76,0,65,69,431,2000,0.11,29.24,29.89,6.3,23,7.4,-11,76,2007,7,17,29,1
1,2007-07-18,85,69,77,3,68,71,432,2000,1.55,29.11,29.84,9.1,24,10.1,-12,74,2007,7,18,29,2
2,2007-07-18,85,69,77,1,69,71,432,2000,0.92,29.18,29.83,10.3,24,10.6,-12,76,2007,7,18,29,2
1,2007-07-19,83,63,73,-1,63,66,433,2000,0.16,29.21,29.9,7.0,1,11.9,-8,74,2007,7,19,29,3
2,2007-07-19,82,63,73,-3,62,66,433,2000,0.01,29.26,29.88,7.7,36,14.4,-8,76,2007,7,19,29,3
1,2007-07-20,75,58,67,-7,53,59,433,2000,0.0,29.44,30.14,8.6,3,9.1,-2,74,2007,7,20,29,4
2,2007-07-20,74,62,68,-8,52,59,433,2000,0.0,29.49,30.12,11.3,4,11.5,-3,76,2007,7,20,29,4
1,2007-07-21,74,58,66,-8,52,58,434,2000,0.0,29.51,30.22,6.5,3,7.4,-1,74,2007,7,21,29,5
2,2007-07-21,75,58,67,-9,52,59,434,2000,0.0,29.57,30.21,5.8,4,7.4,-2,76,2007,7,21,29,5
1,2007-07-22,81,58,70,-4,55,61,435,2000,0.0,29.49,30.21,1.7,16,3.3,-5,74,2007,7,22,29,6
2,2007-07-22,81,61,71,-5,54,61,435,2000,0.0,29.54,30.2,1.9,18,3.5,-6,76,2007,7,22,29,6
1,2007-07-23,83,60,72,-2,55,63,436,2000,0.0,29.37,30.1,3.2,9,4.0,-7,74,2007,7,23,30,0
2,2007-07-23,82,63,73,-3,55,63,436,2000,0.0,29.42,30.09,2.9,12,3.9,-8,76,2007,7,23,30,0
1,2007-07-24,82,65,74,0,58,64,437,2000,0.0,29.32,30.04,3.1,20,5.2,-9,74,2007,7,24,30,1
2,2007-07-24,82,65,74,-2,57,64,437,2000,0.0,29.38,30.03,1.1,21,4.9,-9,76,2007,7,24,30,1
1,2007-07-25,85,71,78,4,61,67,438,2000,0.0,29.29,30.0,5.8,25,6.6,-13,74,2007,7,25,30,2
2,2007-07-25,83,70,77,1,60,66,438,2000,0.0,29.35,29.99,6.4,23,7.0,-12,76,2007,7,25,30,2
1,2007-07-26,83,66,75,1,65,68,439,2000,0.19,29.19,29.92,7.2,22,9.4,-10,74,2007,7,26,30,3
2,2007-07-26,84,64,74,-2,65,68,439,2000,0.89,29.25,29.91,7.2,22,9.9,-9,76,2007,7,26,30,3
1,2007-07-27,83,70,77,3,68,70,440,2000,0.17,29.11,29.82,3.0,3,7.9,-12,74,2007,7,27,30,4
2,2007-07-27,83,70,77,1,67,70,440,2000,0.04,29.16,29.8,1.2,36,8.1,-12,76,2007,7,27,30,4
1,2007-07-28,80,66,73,-1,65,68,441,2000,0.0,29.23,29.93,10.0,3,10.2,-8,74,2007,7,28,30,5
2,2007-07-28,80,70,75,-1,65,68,441,2000,0.0,29.28,29.91,10.6,3,10.7,-10,76,2007,7,28,30,5
1,2007-07-29,85,63,74,0,57,64,442,2000,0.0,29.28,29.99,4.8,5,5.7,-9,74,2007,7,29,30,6
2,2007-07-29,85,67,76,0,56,64,442,2000,0.0,29.34,29.97,6.3,5,6.9,-11,76,2007,7,29,30,6
1,2007-07-30,89,62,76,2,55,64,443,2000,0.0,29.33,30.03,3.8,6,4.3,-11,74,2007,7,30,31,0
2,2007-07-30,86,65,76,0,57,65,443,2000,0.0,29.39,30.01,3.1,6,4.6,-11,76,2007,7,30,31,0
1,2007-07-31,91,68,80,6,61,68,444,2000,0.0,29.33,30.04,3.3,4,4.9,-15,74,2007,7,31,31,1
2,2007-07-31,89,69,79,3,60,68,444,2000,0.0,29.39,30.02,4.0,7,5.0,-14,76,2007,7,31,31,1
1,2007-08-01,92,69,81,8,62,69,445,2000,0.0,29.29,30.0,3.5,9,4.1,-16,73,2007,8,1,31,2
2,2007-08-01,91,69,80,5,63,70,445,2000,0.0,29.34,29.98,2.1,13,3.7,-15,75,2007,8,1,31,2
1,2007-08-02,91,70,81,8,66,71,446,2000,0.0,29.26,29.97,5.5,26,5.9,-16,73,2007,8,2,31,3
2,2007-08-02,91,73,82,7,66,72,446,2000,0.0,29.31,29.95,6.5,23,7.2,-17,75,2007,8,2,31,3
1,2007-08-03,90,69,80,7,56,66,447,2000,0.0,29.31,30.02,2.7,3,5.7,-15,73,2007,8,3,31,4
2,2007-08-03,88,73,81,6,58,67,447,2000,0.0,29.36,30.0,3.3,6,5.8,-16,75,2007,8,3,31,4
1,2007-08-04,81,64,73,0,58,64,448,2000,0.03,29.31,30.03,5.7,8,6.1,-8,73,2007,8,4,31,5
2,2007-08-04,81,68,75,0,58,65,448,2000,0.02,29.36,30.01,5.9,9,6.6,-10,75,2007,8,4,31,5
1,2007-08-05,88,67,78,5,71,73,449,2000,1.43,29.08,29.81,5.4,21,9.6,-13,73,2007,8,5,31,6
2,2007-08-05,88,68,78,3,71,72,449,2000,0.97,29.15,29.79,7.0,22,10.2,-13,75,2007,8,5,31,6
1,2007-08-06,88,74,81,8,72,74,450,2000,0.26,29.13,29.83,1.6,10,4.9,-16,73,2007,8,6,32,0
2,2007-08-06,85,75,80,5,72,74,450,2000,0.05,29.17,29.81,2.6,10,4.6,-15,75,2007,8,6,32,0
1,2007-08-07,91,72,82,9,73,76,451,2000,1.31,29.06,29.76,6.2,25,9.0,-17,73,2007,8,7,32,1
2,2007-08-07,92,73,83,8,73,76,451,2000,0.06,29.11,29.74,6.3,24,8.8,-18,75,2007,8,7,32,1
1,2007-08-08,87,73,80,7,71,73,452,2000,0.06,29.13,29.83,3.0,3,6.9,-15,73,2007,8,8,32,2
2,2007-08-08,87,74,81,6,72,74,452,2000,0.09,29.18,29.81,1.5,4,6.4,-16,75,2007,8,8,32,2
1,2007-08-09,84,72,78,5,71,73,453,2000,0.05,29.13,29.84,2.5,29,6.0,-13,73,2007,8,9,32,3
2,2007-08-09,85,73,79,4,71,73,453,2000,0.46,29.19,29.82,3.1,27,6.3,-14,75,2007,8,9,32,3
1,2007-08-10,86,70,78,5,68,72,454,2000,0.0,29.26,29.96,4.5,2,5.9,-13,73,2007,8,10,32,4
2,2007-08-10,86,73,80,5,69,72,454,2000,0.0,29.32,29.94,3.0,6,5.4,-15,75,2007,8,10,32,4
1,2007-08-11,89,67,78,5,65,70,455,1900,0.0,29.31,30.02,3.2,19,3.9,-13,73,2007,8,11,32,5
2,2007-08-11,88,68,78,3,65,70,455,1900,0.0,29.38,30.0,3.1,20,3.9,-13,75,2007,8,11,32,5
1,2007-08-12,88,67,78,5,67,71,456,1900,0.29,29.34,30.06,1.7,6,5.4,-13,73,2007,8,12,32,6
2,2007-08-12,87,68,78,3,67,70,456,1900,0.23,29.4,30.04,1.9,6,6.6,-13,75,2007,8,12,32,6
1,2007-08-13,81,65,73,0,57,64,457,1900,0.0,29.39,30.11,6.2,6,6.9,-8,73,2007,8,13,33,0
2,2007-08-13,80,69,75,0,54,63,457,1900,0.0,29.44,30.08,6.9,8,7.7,-10,75,2007,8,13,33,0
1,2007-08-14,84,65,75,3,67,70,458,1900,0.41,29.23,29.93,5.9,25,8.0,-10,72,2007,8,14,33,1
2,2007-08-14,84,65,75,1,66,69,458,1900,0.45,29.29,29.92,6.4,23,9.0,-10,74,2007,8,14,33,1
1,2007-08-15,80,71,76,4,67,70,459,1900,0.23,29.17,29.89,3.4,7,5.8,-11,72,2007,8,15,33,2
2,2007-08-15,81,72,77,3,69,71,459,1900,0.83,29.23,29.87,4.9,6,7.1,-12,74,2007,8,15,33,2
1,2007-08-16,77,65,71,-1,64,67,500,1900,0.0,29.28,29.97,3.6,1,5.7,-6,72,2007,8,16,33,3
