,lot_area,alley,lot_shape,land_contour,lot_config,land_slope,neighborhood,condition_1,condition_2,overall_qual,overall_cond,year_remod/add,exterior_1st,exterior_2nd,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating,central_air,electrical,gr_liv_area,kitchen_qual,functional,fireplaces,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,fence,saleprice,age,pool,rm_count,bath_count,num_floors,porch_area
44,11200,0,3.0,Lvl,Inside,0.0,Sawyer,Norm,Norm,5,5,0,HdBoard,HdBoard,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,1.0,1040.0,GasA,1,5.0,1040,2.0,7.0,0,384.0,3.0,3.0,2.0,0,0,129500,43,0,4,2.0,1.0,0
45,9670,0,2.0,HLS,Inside,1.0,Crawfor,Norm,Norm,8,6,1,BrkFace,Stucco,2.0,2.0,PConc,3.0,2.0,1.0,2.0,1.0,608.0,GasA,1,5.0,1873,2.0,7.0,2,786.0,2.0,3.0,2.0,0,0,257076,73,0,5,1.5,2.0,207
46,10998,1,3.0,Lvl,Inside,0.0,Edwards,Norm,Norm,5,5,1,Wd Sdng,Wd Sdng,2.0,2.0,CBlock,3.0,3.0,1.0,2.0,4.0,984.0,GasA,1,5.0,1604,2.0,5.0,0,660.0,3.0,3.0,2.0,0,0,117000,68,0,4,2.0,1.5,68
47,7200,0,3.0,HLS,Inside,1.0,Crawfor,Norm,Norm,7,6,1,Stucco,Wd Shng,2.0,1.0,BrkTil,4.0,3.0,1.0,1.0,1.0,776.0,GasA,1,5.0,1502,2.0,7.0,1,270.0,3.0,3.0,1.0,0,1,149000,77,0,4,1.5,2.0,112
48,9920,0,3.0,Lvl,Inside,0.0,NAmes,Norm,Norm,5,5,0,HdBoard,HdBoard,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,2.0,1056.0,GasA,1,5.0,1063,2.0,7.0,0,280.0,3.0,3.0,2.0,0,1,128000,56,0,4,2.0,1.0,164
49,2448,0,3.0,Lvl,Inside,0.0,NridgHt,Norm,Norm,7,5,1,VinylSd,Wd Shng,3.0,2.0,PConc,4.0,3.0,1.0,1.0,1.0,764.0,GasA,1,5.0,1626,3.0,7.0,0,474.0,3.0,3.0,2.0,0,0,155000,5,0,3,2.5,2.0,27
50,2998,0,3.0,Lvl,Inside,0.0,Somerst,Norm,Norm,6,5,0,MetalSd,MetalSd,3.0,2.0,PConc,4.0,3.0,1.0,6.0,1.0,756.0,GasA,1,5.0,1524,3.0,7.0,0,440.0,3.0,3.0,2.0,0,0,166000,6,0,3,2.5,2.0,32
51,7804,0,3.0,Lvl,Inside,0.0,SWISU,Norm,Norm,4,3,1,WdShing,Plywood,2.0,2.0,BrkTil,3.0,3.0,1.0,4.0,1.0,1122.0,GasA,1,5.0,1981,3.0,5.0,2,576.0,3.0,3.0,2.0,431,1,135000,81,0,5,3.0,1.5,44
52,16692,0,2.0,Lvl,Inside,0.0,NWAmes,RRAn,Norm,7,5,0,Plywood,Plywood,2.0,2.0,CBlock,4.0,3.0,1.0,4.0,2.0,1392.0,GasA,1,5.0,2784,3.0,7.0,2,564.0,3.0,3.0,2.0,0,1,250000,28,1,6,4.5,2.0,552
53,1476,0,3.0,Lvl,Inside,0.0,MeadowV,Norm,Norm,4,7,0,CemntBd,CmentBd,2.0,2.0,CBlock,3.0,3.0,1.0,6.0,1.0,546.0,GasA,1,5.0,1092,2.0,7.0,0,0.0,0.0,0.0,2.0,200,0,76000,40,0,4,1.5,2.0,26
54,10170,0,3.0,Lvl,Corner,0.0,NAmes,Norm,Norm,6,6,0,Wd Sdng,Wd Sdng,2.0,2.0,CBlock,3.0,3.0,1.0,1.0,1.0,216.0,GasA,1,5.0,1575,3.0,7.0,1,400.0,3.0,3.0,2.0,0,0,155000,55,0,3,1.5,1.0,0
55,9364,0,3.0,Lvl,Corner,0.0,Sawyer,Norm,Norm,6,7,0,HdBoard,HdBoard,2.0,2.0,CBlock,3.0,3.0,1.0,5.0,1.0,663.0,GasA,1,5.0,1352,2.0,7.0,0,299.0,3.0,3.0,2.0,379,1,158000,41,0,5,1.5,2.0,36
56,2544,1,3.0,Lvl,Inside,0.0,Somerst,Norm,Norm,7,5,1,MetalSd,MetalSd,3.0,2.0,PConc,4.0,3.0,1.0,6.0,5.0,600.0,GasA,1,5.0,1200,3.0,7.0,0,480.0,3.0,3.0,2.0,0,0,149500,6,0,3,3.5,2.0,172
57,9888,0,3.0,Lvl,Inside,0.0,NAmes,Norm,Norm,5,6,1,MetalSd,MetalSd,2.0,3.0,CBlock,3.0,3.0,1.0,4.0,1.0,936.0,GasA,1,4.0,936,2.0,7.0,0,240.0,3.0,3.0,2.0,0,1,121000,52,0,3,1.0,1.0,160
58,7942,0,3.0,Lvl,Inside,0.0,NAmes,Norm,Norm,6,7,0,Wd Sdng,Wd Sdng,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,5.0,1040.0,GasA,1,3.0,1040,2.0,7.0,0,293.0,3.0,3.0,2.0,0,1,136000,54,0,4,1.5,1.0,0
59,15038,0,1.0,Lvl,Corner,0.0,Gilbert,Norm,Norm,6,5,0,HdBoard,HdBoard,2.0,2.0,PConc,4.0,3.0,1.0,3.0,1.0,916.0,GasA,1,5.0,1636,2.0,7.0,1,386.0,3.0,3.0,2.0,168,0,173000,12,0,4,2.5,2.0,84
60,11764,0,2.0,Lvl,CulDSac,0.0,NoRidge,Norm,Norm,8,7,1,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,1.0,6.0,1.0,1152.0,GasA,1,5.0,2270,3.0,7.0,1,671.0,3.0,3.0,2.0,132,0,290000,11,0,5,2.5,2.0,57
61,9000,0,3.0,Lvl,Inside,0.0,Somerst,Norm,Norm,8,5,0,CemntBd,CmentBd,3.0,2.0,PConc,4.0,3.0,3.0,6.0,1.0,1184.0,GasA,1,5.0,2610,4.0,7.0,1,550.0,3.0,3.0,2.0,208,0,303477,0,0,5,2.5,2.0,364
62,20062,0,2.0,Low,Inside,1.0,ClearCr,Norm,Norm,7,7,1,Wd Sdng,Wd Sdng,3.0,3.0,CBlock,4.0,3.0,4.0,5.0,1.0,1420.0,GasA,1,5.0,1483,2.0,7.0,2,690.0,3.0,3.0,2.0,496,0,270000,33,0,2,2.5,1.0,0
63,7308,0,3.0,Lvl,Corner,0.0,OldTown,Artery,Norm,5,5,1,WdShing,Wd Shng,1.0,1.0,BrkTil,3.0,3.0,1.0,3.0,1.0,936.0,GasA,0,4.0,1740,4.0,7.0,1,225.0,2.0,2.0,0.0,0,0,122250,88,0,3,1.0,1.5,236
64,8750,0,3.0,Lvl,Inside,0.0,NAmes,Norm,Norm,5,5,0,AsbShng,AsbShng,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,2.0,1382.0,GasA,1,4.0,1382,3.0,7.0,0,350.0,3.0,3.0,2.0,280,1,153000,54,0,4,1.5,1.0,0
65,8402,0,3.0,Lvl,Inside,0.0,Mitchel,Feedr,Norm,5,5,0,VinylSd,VinylSd,2.0,2.0,PConc,4.0,3.0,1.0,5.0,1.0,1120.0,GasA,1,5.0,1120,2.0,7.0,0,0.0,0.0,0.0,2.0,0,0,147000,0,0,4,1.0,1.0,30
66,4000,0,3.0,Lvl,Inside,0.0,Crawfor,Norm,Norm,7,8,1,Wd Sdng,Wd Sdng,2.0,2.0,BrkTil,4.0,3.0,1.0,6.0,1.0,531.0,GasA,1,5.0,1098,2.0,7.0,1,216.0,3.0,3.0,2.0,0,1,148500,77,0,3,2.0,2.0,0
67,3363,0,3.0,Lvl,Inside,0.0,Edwards,Norm,Norm,7,5,0,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,1.0,1.0,1.0,976.0,GasA,1,5.0,1708,3.0,3.0,0,380.0,3.0,3.0,2.0,0,0,130000,2,0,4,2.0,2.0,40
68,13615,0,2.0,HLS,Corner,1.0,NridgHt,Norm,Norm,9,5,0,MetalSd,MetalSd,4.0,2.0,PConc,5.0,3.0,4.0,1.0,1.0,1802.0,GasA,1,5.0,1802,4.0,7.0,1,843.0,3.0,3.0,2.0,158,0,372000,1,0,4,2.5,1.0,105
69,3013,0,3.0,Lvl,Inside,0.0,Blmngtn,Norm,Norm,7,5,0,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,4.0,6.0,1.0,1362.0,GasA,1,5.0,1506,3.0,7.0,1,440.0,3.0,3.0,2.0,142,0,213490,1,0,3,2.0,1.0,20
70,17485,0,1.0,Lvl,Inside,0.0,Edwards,Norm,Norm,7,5,1,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,4.0,6.0,1.0,1508.0,GasA,1,5.0,1508,3.0,7.0,2,572.0,3.0,3.0,2.0,0,0,308030,1,0,2,2.0,1.0,0
71,23730,0,1.0,Lvl,Inside,0.0,Mitchel,Norm,Norm,7,5,1,MetalSd,MetalSd,3.0,2.0,PConc,5.0,3.0,2.0,6.0,1.0,1840.0,GasA,1,5.0,2032,3.0,7.0,0,786.0,3.0,3.0,2.0,0,0,300000,12,0,4,4.0,1.0,238
72,8910,0,3.0,Lvl,Corner,0.0,NAmes,Norm,Norm,6,6,0,BrkFace,BrkFace,2.0,2.0,CBlock,3.0,3.0,2.0,5.0,1.0,655.0,GasA,1,5.0,1194,2.0,7.0,1,539.0,3.0,3.0,2.0,0,0,159500,47,0,4,1.5,1.0,192
73,2522,0,3.0,Lvl,Inside,0.0,Edwards,Norm,Norm,7,5,0,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,1.0,1.0,1.0,970.0,GasA,1,5.0,1709,3.0,3.0,0,380.0,3.0,3.0,2.0,0,0,137500,2,0,4,2.0,2.0,40
74,8688,0,3.0,Lvl,Inside,0.0,Somerst,Norm,Norm,7,5,0,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,3.0,1.0,1.0,1616.0,GasA,1,5.0,1616,3.0,7.0,0,834.0,3.0,3.0,2.0,208,0,232000,1,0,4,2.0,1.0,59
75,6291,0,2.0,Lvl,Inside,0.0,IDOTRR,RRNe,Norm,6,6,1,Stucco,Wd Shng,3.0,3.0,BrkTil,3.0,3.0,1.0,1.0,1.0,768.0,GasA,1,5.0,768,2.0,7.0,0,440.0,3.0,3.0,0.0,0,0,93850,78,0,2,1.0,1.0,84
76,17529,0,3.0,Lvl,Inside,0.0,Sawyer,Norm,Norm,5,5,1,BrkFace,Wd Sdng,2.0,2.0,BrkTil,3.0,3.0,1.0,1.0,1.0,872.0,GasA,0,3.0,872,1.0,4.0,1,322.0,2.0,2.0,0.0,0,0,105000,82,0,3,1.0,1.0,116
77,6324,0,2.0,Lvl,Inside,0.0,BrkSide,Feedr,RRNn,4,6,1,MetalSd,MetalSd,2.0,2.0,BrkTil,3.0,3.0,1.0,1.0,1.0,520.0,GasA,0,5.0,520,1.0,7.0,0,240.0,2.0,3.0,2.0,49,0,68500,81,0,2,1.0,1.0,87
78,11600,0,3.0,Lvl,Corner,0.0,NAmes,Feedr,Norm,5,5,0,MetalSd,MetalSd,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,1.0,1105.0,GasA,1,4.0,2274,2.0,7.0,0,480.0,3.0,3.0,2.0,0,0,154300,50,0,7,2.0,2.0,0
79,7288,0,3.0,Lvl,Inside,0.0,IDOTRR,Artery,Norm,5,7,1,VinylSd,VinylSd,3.0,3.0,BrkTil,3.0,1.0,1.0,1.0,1.0,936.0,GasA,1,5.0,1601,2.0,7.0,0,0.0,0.0,0.0,0.0,0,0,129850,82,0,4,2.0,1.5,176
80,4571,1,3.0,Lvl,Inside,0.0,OldTown,Norm,Norm,5,7,1,MetalSd,MetalSd,2.0,2.0,BrkTil,3.0,3.0,1.0,4.0,1.0,616.0,GasA,1,5.0,1232,2.0,7.0,0,480.0,2.0,2.0,2.0,280,0,114000,97,0,4,1.0,2.0,143
81,17423,0,2.0,Lvl,CulDSac,0.0,StoneBr,Norm,Norm,9,5,1,VinylSd,VinylSd,4.0,2.0,PConc,5.0,3.0,1.0,6.0,1.0,2216.0,GasA,1,5.0,2234,4.0,7.0,1,1166.0,3.0,3.0,2.0,0,0,501837,1,0,2,3.0,1.0,60
82,12665,1,2.0,Lvl,Inside,0.0,OldTown,Artery,Norm,5,8,1,Wd Sdng,Wd Sdng,2.0,2.0,BrkTil,3.0,3.0,2.0,1.0,1.0,876.0,GasA,1,5.0,1416,2.0,7.0,1,720.0,3.0,3.0,2.0,418,0,153900,93,0,5,1.5,1.5,194
83,9000,0,3.0,Lvl,FR2,0.0,NAmes,Norm,Norm,4,7,1,VinylSd,VinylSd,2.0,3.0,CBlock,3.0,3.0,1.0,5.0,1.0,864.0,GasA,1,5.0,864,2.0,7.0,0,576.0,3.0,3.0,2.0,200,1,130000,38,0,4,1.0,1.0,0
84,4500,0,3.0,Lvl,FR2,0.0,Mitchel,Norm,Norm,6,5,0,VinylSd,VinylSd,2.0,2.0,PConc,5.0,3.0,1.0,6.0,1.0,1189.0,GasA,1,5.0,1189,2.0,7.0,0,392.0,3.0,3.0,2.0,0,0,160500,11,0,3,3.0,1.0,122
85,6373,0,3.0,Lvl,Inside,0.0,NridgHt,Norm,Norm,9,5,0,MetalSd,MetalSd,4.0,2.0,PConc,5.0,4.0,1.0,6.0,1.0,1666.0,GasA,1,5.0,1666,3.0,7.0,1,575.0,3.0,3.0,2.0,228,0,310090,0,0,3,3.0,1.0,75
86,10083,0,3.0,Lvl,Inside,0.0,SawyerW,Norm,Norm,7,5,0,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,1.0,6.0,1.0,1176.0,GasA,1,5.0,1200,3.0,7.0,0,555.0,3.0,3.0,2.0,0,0,184900,6,0,3,3.0,1.0,41
